names,scores,logfoldchanges,pvals,pvals_adj,comparison,-log10_padj
ZSCAN32,-0.18742374,,0.851328413578605,0.8911203292742613,R_Pre_vs_NR_Pre,0.05006364858781154
GET1,-0.18806653,-2.6205752,0.8508245018987682,0.8907245773866397,R_Pre_vs_NR_Pre,0.05025656421495789
HNRNPLL,-0.18820184,,0.8507184229843281,0.8906897257627314,R_Pre_vs_NR_Pre,0.05027355730626057
GYG1,-0.18884464,4.072212,0.8502145850665459,0.8903181101531641,R_Pre_vs_NR_Pre,0.050454792456058044
FAHD2B,-0.18904762,10.079146,0.850055491051652,0.8902554529708393,R_Pre_vs_NR_Pre,0.05048535751566586
IMMP1L,-0.18941976,,0.8497638345515104,0.8900019655622696,R_Pre_vs_NR_Pre,0.0506090342181154
UBE2O,-0.18948743,,0.849710808304551,0.8899983930495758,R_Pre_vs_NR_Pre,0.05061077750152761
RPF2,-0.18975808,-2.0769594,0.8494987101175577,0.8899321300057671,R_Pre_vs_NR_Pre,0.05064311322915381
SGTB,-0.19002873,,0.8492866228231474,0.889761911003482,R_Pre_vs_NR_Pre,0.05072618950173714
LRRC23,-0.19060385,-1.7630178,0.8488359735576708,0.8893417261653817,R_Pre_vs_NR_Pre,0.05093133096302916
SPATA6,-0.19111131,-0.14293449,0.8484383828708069,0.8890290152425102,R_Pre_vs_NR_Pre,0.05108406472823514
TUBGCP3,-0.19219391,-2.8820744,0.8475903183973895,0.888347948081354,R_Pre_vs_NR_Pre,0.05141689645777366
ADGRG2,-0.1926337,-0.55674744,0.8472458425490363,0.8881944903070897,R_Pre_vs_NR_Pre,0.05149192519144616
